"Plot Title: 10998654"
"#","Date Time, GMT+05:00","Temp, °F (LGR S/N: 10998654, SEN S/N: 10998654)","Intensity, lum/ft² (LGR S/N: 10998654, SEN S/N: 10998654)","Coupler Detached (LGR S/N: 10998654)","End Of File (LGR S/N: 10998654)"
366,02/08/17 06:14:11 PM,82.686,2.0,,
367,02/08/17 07:14:11 PM,82.686,0.0,,
368,02/08/17 08:14:11 PM,82.686,0.0,,
369,02/08/17 09:14:11 PM,82.686,0.0,,
370,02/08/17 10:14:11 PM,82.686,0.0,,
371,02/08/17 11:14:11 PM,83.221,0.0,,
372,02/09/17 12:14:11 AM,83.043,0.0,,
373,02/09/17 01:14:11 AM,83.043,0.0,,
374,02/09/17 02:14:11 AM,83.043,0.0,,
375,02/09/17 03:14:11 AM,83.043,0.0,,
376,02/09/17 04:14:11 AM,82.864,0.0,,
377,02/09/17 05:14:11 AM,82.864,0.0,,
378,02/09/17 06:14:11 AM,82.686,0.0,,
379,02/09/17 07:14:11 AM,82.686,27.0,,
380,02/09/17 08:14:11 AM,82.686,64.0,,
381,02/09/17 09:14:11 AM,82.686,160.0,,
382,02/09/17 10:14:11 AM,82.864,240.0,,
383,02/09/17 11:14:11 AM,83.221,416.0,,
384,02/09/17 12:14:11 PM,83.221,416.0,,
385,02/09/17 01:14:11 PM,83.399,400.0,,
386,02/09/17 02:14:11 PM,83.579,288.0,,
387,02/09/17 03:14:11 PM,83.399,136.0,,
388,02/09/17 04:14:11 PM,83.043,90.0,,
389,02/09/17 05:14:11 PM,83.221,48.0,,
390,02/09/17 06:14:11 PM,83.043,2.0,,
391,02/09/17 07:14:11 PM,82.864,0.0,,
392,02/09/17 08:14:11 PM,83.221,0.0,,
393,02/09/17 09:14:11 PM,83.043,0.0,,
394,02/09/17 10:14:11 PM,83.043,0.0,,
395,02/09/17 11:14:11 PM,82.864,0.0,,
396,02/10/17 12:14:11 AM,83.221,0.0,,
397,02/10/17 01:14:11 AM,83.043,0.0,,
398,02/10/17 02:14:11 AM,82.864,0.0,,
399,02/10/17 03:14:11 AM,82.864,0.0,,
400,02/10/17 04:14:11 AM,82.864,0.0,,
401,02/10/17 05:14:11 AM,82.864,0.0,,
402,02/10/17 06:14:11 AM,82.686,0.0,,
403,02/10/17 07:14:11 AM,82.686,27.0,,
404,02/10/17 08:14:11 AM,82.864,77.0,,
405,02/10/17 09:14:11 AM,82.864,128.0,,
406,02/10/17 10:14:11 AM,82.864,216.0,,
407,02/10/17 11:14:11 AM,83.043,320.0,,
408,02/10/17 12:14:11 PM,83.579,896.0,,
409,02/10/17 01:14:11 PM,83.757,864.0,,
410,02/10/17 02:14:11 PM,83.757,576.0,,
411,02/10/17 03:14:11 PM,83.757,368.0,,
412,02/10/17 04:14:11 PM,83.579,176.0,,
413,02/10/17 05:14:11 PM,83.579,66.0,,
