Plot Title: 10998654,,,,,
#,"Date Time, GMT+05:00","Temp, °F (LGR S/N: 10998654, SEN S/N: 10998654)","Intensity, lum/ft² (LGR S/N: 10998654, SEN S/N: 10998654)",Coupler Detached (LGR S/N: 10998654),End Of File (LGR S/N: 10998654)
1329,03/20/17 09:14:11 PM,84.654,0,,
1330,03/20/17 10:14:11 PM,84.654,0,,
1331,03/20/17 11:14:11 PM,84.474,0,,
1332,03/21/17 12:14:11 AM,84.474,0,,
1333,03/21/17 01:14:11 AM,84.474,0,,
1334,03/21/17 02:14:11 AM,84.474,0,,
1335,03/21/17 03:14:11 AM,84.474,0,,
1336,03/21/17 04:14:11 AM,84.474,0,,
1337,03/21/17 05:14:11 AM,84.474,0,,
1338,03/21/17 06:14:11 AM,84.474,2,,
1339,03/21/17 07:14:11 AM,84.295,75,,
1340,03/21/17 08:14:11 AM,84.474,216,,
1341,03/21/17 09:14:11 AM,84.474,200,,
1342,03/21/17 10:14:11 AM,84.654,576,,
1343,03/21/17 11:14:11 AM,84.654,232,,
1344,03/21/17 12:14:11 PM,84.834,768,,
1345,03/21/17 01:14:11 PM,84.834,480,,
1346,03/21/17 02:14:11 PM,84.834,352,,
1347,03/21/17 03:14:11 PM,84.654,224,,
1348,03/21/17 04:14:11 PM,84.654,108,,
1349,03/21/17 05:14:11 PM,84.654,52,,
1350,03/21/17 06:14:11 PM,84.474,3,,
1351,03/21/17 07:14:11 PM,84.474,0,,
1352,03/21/17 08:14:11 PM,84.474,0,,
1353,03/21/17 09:14:11 PM,84.474,0,,
1354,03/21/17 10:14:11 PM,84.654,0,,
1355,03/21/17 11:14:11 PM,84.474,0,,
1356,03/22/17 12:14:11 AM,84.474,0,,
1357,03/22/17 01:14:11 AM,84.474,0,,
1358,03/22/17 02:14:11 AM,84.474,0,,
1359,03/22/17 03:14:11 AM,84.474,0,,
1360,03/22/17 04:14:11 AM,85.014,0,,
1361,03/22/17 05:14:11 AM,84.474,0,,
1362,03/22/17 06:14:11 AM,84.654,2,,
1363,03/22/17 07:14:11 AM,84.654,61,,
1364,03/22/17 08:14:11 AM,84.654,144,,
1365,03/22/17 09:14:11 AM,84.654,240,,
1366,03/22/17 10:14:11 AM,84.834,176,,
1367,03/22/17 11:14:11 AM,84.834,97,,
1368,03/22/17 12:14:11 PM,84.834,115,,
1369,03/22/17 01:14:11 PM,84.834,272,,
1370,03/22/17 02:14:11 PM,84.834,184,,
1371,03/22/17 03:14:11 PM,84.834,119,,
1372,03/22/17 04:14:11 PM,84.834,83,,
1373,03/22/17 05:14:11 PM,84.654,30,,
1374,03/22/17 06:14:11 PM,84.654,1,,
1375,03/22/17 07:14:11 PM,84.654,0,,
1376,03/22/17 08:14:11 PM,84.654,0,,
1377,03/22/17 09:14:11 PM,84.654,0,,
1378,03/22/17 10:14:11 PM,84.834,0,,
1379,03/22/17 11:14:11 PM,84.654,0,,
1380,03/23/17 12:14:11 AM,84.654,0,,
1381,03/23/17 01:14:11 AM,84.654,0,,
1382,03/23/17 02:14:11 AM,84.834,0,,
1383,03/23/17 03:14:11 AM,84.834,0,,
1384,03/23/17 04:14:11 AM,84.654,0,,
1385,03/23/17 05:14:11 AM,84.654,0,,
1386,03/23/17 06:14:11 AM,84.654,1,,
1387,03/23/17 07:14:11 AM,84.834,53,,
1388,03/23/17 08:14:11 AM,85.014,216,,
1389,03/23/17 09:14:11 AM,85.014,384,,
1390,03/23/17 10:14:11 AM,85.014,496,,
1391,03/23/17 11:14:11 AM,85.194,576,,
1392,03/23/17 12:14:11 PM,85.194,768,,
1393,03/23/17 01:14:11 PM,85.194,480,,
1394,03/23/17 02:14:11 PM,85.194,384,,
1395,03/23/17 03:14:11 PM,85.194,200,,
1396,03/23/17 04:14:11 PM,85.194,107,,
1397,03/23/17 05:14:11 PM,85.014,42,,
1398,03/23/17 06:14:11 PM,85.014,2,,
1399,03/23/17 07:14:11 PM,85.014,0,,
1400,03/23/17 08:14:11 PM,85.014,0,,
1401,03/23/17 09:14:11 PM,85.014,0,,
1402,03/23/17 10:14:11 PM,85.194,0,,
1403,03/23/17 11:14:11 PM,85.014,0,,
1404,03/24/17 12:14:11 AM,85.014,0,,
1405,03/24/17 01:14:11 AM,85.014,0,,
1406,03/24/17 02:14:11 AM,85.374,0,,
1407,03/24/17 03:14:11 AM,85.194,0,,
