Plot Title: 10998654,,,,,
#,"Date Time, GMT+05:00","Temp, øF (LGR S/N: 10998654, SEN S/N: 10998654)","Intensity, lum/ftý (LGR S/N: 10998654, SEN S/N: 10998654)",Coupler Detached (LGR S/N: 10998654),End Of File (LGR S/N: 10998654)
593,02/18/17 05:14:11 AM,83.221,0,,
594,02/18/17 06:14:11 AM,83.399,0,,
595,02/18/17 07:14:11 AM,83.579,69,,
596,02/18/17 08:14:11 AM,83.399,256,,
597,02/18/17 09:14:11 AM,83.399,272,,
598,02/18/17 10:14:11 AM,83.579,496,,
599,02/18/17 11:14:11 AM,83.757,608,,
600,02/18/17 12:14:11 PM,83.757,512,,
601,02/18/17 01:14:11 PM,83.935,480,,
602,02/18/17 02:14:11 PM,84.115,272,,
603,02/18/17 03:14:11 PM,83.935,184,,
604,02/18/17 04:14:11 PM,83.757,136,,
605,02/18/17 05:14:11 PM,83.757,68,,
606,02/18/17 06:14:11 PM,83.579,5,,
607,02/18/17 07:14:11 PM,83.579,0,,
