CoralID,ColonyCollection,DeploymentDate,Species,Origin,Genotype,Stained,Destination,Rack,D_i,d_i,L_i,Weight_i,mlVol_i,CollectionDate,D_f,d_f,L_f,Weight_f,mlVol_f
PR_D_Y_N_S_04,23/01/2017,24/01/2017,PR,D,Y,N,S,4,1.44,1.35,5.15,267,120,07/05/2018,6.51,5.87,6.05,352,165
PR_S_B_S_S_04,20/01/2017,21/01/2017,PR,S,B,S,S,4,1.39,1.26,6.12,247,104,07/05/2018,2.92,2.19,10.05,376,155
PR_S_G_N_S_04,18/01/2017,19/01/2017,PR,S,G,N,S,4,1.19,1.04,2.98,222,95,07/05/2018,,,,,
PR_S_N_S_S_04,22/01/2017,23/01/2017,PR,S,N,S,S,4,2.39,2.15,5.78,285,122.5,07/05/2018,4.05,3.94,8.69,353,158
PR_S_R_S_S_04,20/01/2017,21/01/2017,PR,S,R,S,S,4,2.91,1.2,5.08,261,110,07/05/2018,,,,,
PR_S_Y_N_S_04,18/01/2017,19/01/2017,PR,S,Y,N,S,4,2.82,1.2,5.66,283,97,07/05/2018,,,,,
AD_D_B_N_D_05,19/01/2017,20/01/2017,AD,D,B,N,D,5,1.6,0.77,4.85,235,99,,2.56,1.75,10.78,400,184
AD_D_G_S_D_05,21/01/2017,22/01/2017,AD,D,G,S,D,5,0.87,0.78,5.33,243,98,,,,,,
AD_D_R_S_D_05,21/01/2017,22/01/2017,AD,D,R,S,D,5,1.01,0.46,5.78,237,100.5,,1.97,1.68,8.97,404,182
AD_D_Y_N_D_05,19/01/2017,20/01/2017,AD,D,Y,N,D,5,0.89,0.76,3.5,224,95,,,,,,
AD_S_B_S_D_05,18/01/2017,19/01/2017,AD,S,B,S,D,5,0.63,0.54,3.18,220,94,,,,,,
AD_S_G_N_D_05,20/01/2017,21/01/2017,AD,S,G,N,D,5,0.77,0.64,5.54,259,103,,,,,,
AD_S_N_S_D_05,22/01/2017,23/01/2017,AD,S,N,S,D,5,0.75,0.57,4.33,238,101.5,,2.06,1.6,4.57,277,122
AD_S_R_N_D_05,18/01/2017,19/01/2017,AD,S,R,N,D,5,0.89,0.56,3.94,248,94,,,,,,
AD_S_Y_S_D_05,20/01/2017,21/01/2017,AD,S,Y,S,D,5,0.68,0.56,4.78,247,104,,3.67,1.53,7.02,338,163
AM_D_B_N_D_05,19/01/2017,20/01/2017,AM,D,B,N,D,5,0.71,0.69,5.72,242,104,,4.01,2.21,21,463,194
AM_D_G_N_D_05,21/01/2017,22/01/2017,AM,D,G,N,D,5,0.68,0.5,4.72,236,97,,1.12,0.96,6.65,282,133
AM_D_N_S_D_05,23/01/2017,24/01/2017,AM,D,N,S,D,5,1.19,1.02,7.09,256,106,,2.9,2.7,18.27,382,194
AM_D_R_N_D_05,21/01/2017,22/01/2017,AM,D,R,N,D,5,0.72,0.66,6.73,270,122,,0.99,1.07,19.44,481,241
AM_D_Y_S_D_05,19/01/2017,20/01/2017,AM,D,Y,S,D,5,0.75,0.73,4.66,242,104,,1,1.03,16.86,388,165
AM_S_B_S_D_05,18/01/2017,19/01/2017,AM,S,B,S,D,5,0.79,0.68,5.7,215,90,,1.25,1,9.12,256,115
AM_S_G_N_D_05,20/01/2017,21/01/2017,AM,S,G,N,D,5,0.78,0.67,5.79,240,111,,2.52,2.3,6.89,279,131
AM_S_N_N_D_05,22/01/2017,23/01/2017,AM,S,N,N,D,5,0.88,0.85,7.43,236,98,,3.44,2.3,18.4,297,146
AM_S_R_N_D_05,18/01/2017,19/01/2017,AM,S,R,N,D,5,1.12,0.95,5.02,276,99,,,,,,
AM_S_Y_S_D_05,20/01/2017,21/01/2017,AM,S,Y,S,D,5,0.84,0.74,6.12,224,99.5,,,,,,
PC_D_B_N_D_05,19/01/2017,20/01/2017,PC,D,B,N,D,5,1.3,1.1,4.95,236,102,,,,,,
PC_D_G_S_D_05,21/01/2017,22/01/2017,PC,D,G,S,D,5,1.42,1.28,4.05,215,95.5,,4.29,3.73,6.11,251,122
PC_D_R_N_D_05,23/01/2017,24/01/2017,PC,D,R,N,D,5,2.8,2.79,9.78,313,122,,6,5.43,10.97,383,190
PC_D_Y_S_D_05,19/01/2017,20/01/2017,PC,D,Y,S,D,5,1.11,1.07,4.73,223,98.5,,4.32,3.25,10.86,255,110
PC_S_B_S_D_05,22/01/2017,23/01/2017,PC,S,B,S,D,5,0.87,0.84,4.74,239,97,,6.94,5.9,5.82,273,129
PC_S_G_S_D_05,18/01/2017,19/01/2017,PC,S,G,S,D,5,1.17,1.07,2.61,216,89,,,,,,
PC_S_N_N_D_05,22/01/2017,23/01/2017,PC,S,N,N,D,5,1.23,1.13,7.07,259,107,,5.75,5.01,7.42,295,141
PC_S_R_N_D_05,20/01/2017,21/01/2017,PC,S,R,N,D,5,1.45,1.35,6.85,278,135,,3.32,2.09,9.94,344,165
PC_S_Y_N_D_05,22/01/2017,23/01/2017,PC,S,Y,N,D,5,2.12,2.06,8.46,299,129.5,,4.05,4.06,10.03,363,191
PR_D_B_N_D_05,19/01/2017,20/01/2017,PR,D,B,N,D,5,1.4,1.06,2.58,225,98,,7.11,4.45,4.3,263,131
PR_D_G_S_D_05,21/01/2017,22/01/2017,PR,D,G,S,D,5,1.45,1.09,3.85,246,109,,,,,,
PR_D_R_N_D_05,21/01/2017,22/01/2017,PR,D,R,N,D,5,1.08,0.87,2.73,244,98,,7.72,7.06,4.2,300,139
PR_D_Y_N_D_05,23/01/2017,24/01/2017,PR,D,Y,N,D,5,2.64,1.82,4.12,257,106,,7.74,6.23,5.73,317,152
PR_S_B_N_D_05,20/01/2017,21/01/2017,PR,S,B,N,D,5,0.91,0.69,2.57,234,97,,6.64,5.32,3.44,276,130
PR_S_G_N_D_05,18/01/2017,19/01/2017,PR,S,G,N,D,5,2.45,1.3,2.58,224,98,,5.44,4.81,1.76,263,120
PR_S_N_N_D_05,22/01/2017,23/01/2017,PR,S,N,N,D,5,2.06,1.62,4.95,254,105,,,,,,
PR_S_R_N_D_05,20/01/2017,21/01/2017,PR,S,R,N,D,5,3.72,1.85,4.18,266,111.5,,,,,,
